C,L,C,C,C,C
ID,Nom Point,X (m),σx (m),Y (m),σy (m)
1,Amandier1,340 064.30,0.05,121 750.20,0.06
2,B1Rf,340 083.64,0.05,121 695.01,0.05
3,B1Rf-R57031,340 135.02,0.05,121 648.63,0.04
4,B1Rf-R57517,340 062.44,0.05,121 754.38,0.05
5,B2Rf,340 119.25,0.05,121 646.42,0.05
6,B2Rf-R57517,340 068.63,0.05,121 742.85,0.06
7,B2Rf-R58182,340 096.75,0.05,121 705.86,0.05
8,B39853,340 114.69,0.05,121 661.15,0.05
9,cour1,340 100.77,0.05,121 678.69,0.05
10,cour2,340 095.42,0.05,121 685.98,0.05
11,se1,340 095.27,0.04,121 719.08,0.05
12,se10,340 060.51,0.09,121 743.39,0.09
13,se11,340 055.85,0.07,121 750.27,0.08
14,se12,340 052.34,0.10,121 754.49,0.08
15,se13,340 050.95,0.08,121 756.09,0.07
16,se2,340 091.48,0.04,121 719.28,0.04
17,se3,340 082.57,0.04,121 720.19,0.05
18,se4,340 077.81,0.05,121 719.92,0.05
19,se5,340 074.78,0.05,121 719.45,0.05
20,se6,340 072.26,0.05,121 718.66,0.05
21,se7,340 069.83,0.05,121 717.59,0.06
22,se8,340 073.35,0.05,121 723.86,0.06
23,se9,340 064.78,0.10,121 738.54,0.15
24,SY2,333 929.82,FIXE,120 469.08,FIXE
25,SY5,340 335.97,0.03,124 630.28,0.03
26,SY8,341 969.58,0.03,119 956.65,0.03
