C,L,C,C,C,C
ID,Nom Point,X (m),σx (m),Y (m),σy (m)
1,Amandier1,340 064.31,0.05,121 750.23,0.05
2,B1Rf,340 083.65,0.04,121 695.03,0.04
3,B1Rf-R57031,340 135.03,0.04,121 648.65,0.04
4,B1Rf-R57517,340 062.46,0.04,121 754.40,0.04
5,B2Rf,340 119.27,0.04,121 646.45,0.04
6,B2Rf-R57517,340 068.64,0.04,121 742.87,0.05
7,B2Rf-R58182,340 096.76,0.04,121 705.89,0.04
8,B39853,340 114.70,0.04,121 661.17,0.04
9,cour1,340 100.79,0.04,121 678.71,0.04
10,cour2,340 095.43,0.04,121 686.01,0.05
11,se1,340 095.29,0.03,121 719.11,0.04
12,se10,340 060.53,0.09,121 743.41,0.08
13,se11,340 055.87,0.07,121 750.30,0.08
14,se12,340 052.35,0.10,121 754.52,0.07
15,se13,340 050.96,0.07,121 756.11,0.06
16,se2,340 091.49,0.03,121 719.31,0.03
17,se3,340 082.58,0.03,121 720.21,0.04
18,se4,340 077.83,0.04,121 719.95,0.04
19,se5,340 074.79,0.04,121 719.47,0.04
20,se6,340 072.28,0.03,121 718.69,0.05
21,se7,340 069.84,0.04,121 717.62,0.06
22,se8,340 073.36,0.04,121 723.89,0.05
23,se9,340 064.80,0.10,121 738.56,0.15
24,SY2,333 929.83,0.03,120 469.10,0.03
25,SY5,340 335.98,0.01,124 630.31,0.01
26,SY8,341 969.59,FIXE,119 956.67,FIXE
